No,제목,회사,지역,link
55,2024년 대한제당 부문별 신입 및 경력 채용,대한제당㈜,서울 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45353430?Oem_Code=C1&logpath=1
56,[GS네오텍] IT/플랜트 경력.신입사원 채용,GS네오텍㈜,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45249456?Oem_Code=C1&logpath=1
57,"제주연동 / 신입 연 3,300 주5일 (공휴일,연월차 별도) / 홀서비스팀 사원 모집",거부,제주,https://www.jobkorea.co.kr/Recruit/GI_Read/45360120?Oem_Code=C1&logpath=1
58,컴퓨터 조립(PC) 채용,㈜컴퓨존,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45357585?Oem_Code=C1&logpath=1
59,㈜모트렉스 2024년 신입/경력  대규모 공개채용,㈜모트렉스,충남 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45335317?Oem_Code=C1&logpath=1
60,웹 게임 클라이언트 개발 / 백엔드 개발자 모집,㈜더쇼소프웨어,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45024820?Oem_Code=C1&logpath=1&stext=파이썬&listno=1181
61,네트워크 / 시스템 프로그램 개발자 채용,쿤텍㈜,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/45021627?Oem_Code=C1&logpath=1&stext=파이썬&listno=1182
62,"기술신용평가모형 개선/검증, DB분석 인력",한국기술신용평가㈜,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/45020900?Oem_Code=C1&logpath=1&stext=파이썬&listno=1183
63,머신러닝 엔지니어,메디웨일,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45019835?Oem_Code=C1&logpath=1&stext=파이썬&listno=1184
64,데이터 사이언티스트,메디웨일,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45019667?Oem_Code=C1&logpath=1&stext=파이썬&listno=1185
65,Backend engineer,메디웨일,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45019610?Oem_Code=C1&logpath=1&stext=파이썬&listno=1186
66,System engineer,메디웨일,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45019584?Oem_Code=C1&logpath=1&stext=파이썬&listno=1187
67,[헥토 AI랩] AI 서비스 개발에 관심있는 분들을 모십니다.,㈜헥토,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45013815?Oem_Code=C1&logpath=1&stext=파이썬&listno=1188
